year,sigungu,heat_patients
2020,종로구,83.0
2020,중구,16.0
2020,용산구,55.0
2020,성동구,37.0
2020,광진구,28.0
2020,동대문구,23.0
2020,중랑구,28.0
2020,성북구,36.0
2020,강북구,21.0
2020,도봉구,15.0
2020,노원구,29.0
2020,은평구,421.0
2020,서대문구,255.0
2020,마포구,45.0
2020,양천구,22.0
2020,강서구,43.0
2020,구로구,54.0
2020,금천구,19.0
2020,영등포구,41.0
2020,동작구,76.0
2020,관악구,85.0
2020,서초구,444.0
2020,강남구,100.0
2020,송파구,41.0
2020,강동구,161.0
2020,중구,
2020,강서구,35.0
2020,중구,7.0
2020,중구,7.0
2020,중구,46.0
2020,중구,42.0
2021,종로구,33.0
2021,중구,15.0
2021,용산구,49.0
2021,성동구,29.0
2021,광진구,36.0
2021,동대문구,19.0
2021,중랑구,31.0
2021,성북구,41.0
2021,강북구,31.0
2021,도봉구,22.0
2021,노원구,35.0
2021,은평구,223.0
2021,서대문구,239.0
2021,마포구,38.0
2021,양천구,37.0
2021,강서구,59.0
2021,구로구,87.0
2021,금천구,33.0
2021,영등포구,35.0
2021,동작구,71.0
2021,관악구,92.0
2021,서초구,347.0
2021,강남구,102.0
2021,송파구,82.0
2021,강동구,152.0
2021,중구,6.0
2021,강서구,34.0
2021,중구,12.0
2021,중구,10.0
2021,중구,73.0
2021,중구,29.0
2022,종로구,21.0
2022,중구,14.0
2022,용산구,42.0
2022,성동구,22.0
2022,광진구,43.0
2022,동대문구,33.0
2022,중랑구,48.0
2022,성북구,28.0
2022,강북구,26.0
2022,도봉구,18.0
2022,노원구,39.0
2022,은평구,208.0
2022,서대문구,195.0
2022,마포구,76.0
2022,양천구,48.0
2022,강서구,101.0
2022,구로구,61.0
2022,금천구,20.0
2022,영등포구,33.0
2022,동작구,127.0
2022,관악구,84.0
2022,서초구,473.0
2022,강남구,137.0
2022,송파구,100.0
2022,강동구,202.0
2022,중구,5.0
2022,강서구,40.0
2022,중구,9.0
2022,중구,24.0
2022,중구,72.0
2022,중구,63.0
2023,종로구,33.0
2023,중구,14.0
2023,용산구,57.0
2023,성동구,37.0
2023,광진구,66.0
2023,동대문구,53.0
2023,중랑구,84.0
2023,성북구,58.0
2023,강북구,32.0
2023,도봉구,28.0
2023,노원구,67.0
2023,은평구,274.0
2023,서대문구,192.0
2023,마포구,90.0
2023,양천구,96.0
2023,강서구,73.0
2023,구로구,99.0
2023,금천구,57.0
2023,영등포구,80.0
2023,동작구,167.0
2023,관악구,93.0
2023,서초구,548.0
2023,강남구,225.0
2023,송파구,104.0
2023,강동구,335.0
2023,중구,19.0
2023,강서구,70.0
2023,중구,9.0
2023,중구,32.0
2023,중구,90.0
2023,중구,70.0
2024,종로구,50.0
2024,중구,50.0
2024,용산구,114.0
2024,성동구,61.0
2024,광진구,70.0
2024,동대문구,91.0
2024,중랑구,79.0
2024,성북구,78.0
2024,강북구,57.0
2024,도봉구,60.0
2024,노원구,79.0
2024,은평구,135.0
2024,서대문구,243.0
2024,마포구,142.0
2024,양천구,130.0
2024,강서구,93.0
2024,구로구,167.0
2024,금천구,39.0
2024,영등포구,111.0
2024,동작구,217.0
2024,관악구,136.0
2024,서초구,949.0
2024,강남구,374.0
2024,송파구,151.0
2024,강동구,292.0
2024,중구,15.0
2024,강서구,83.0
2024,중구,16.0
2024,중구,46.0
2024,중구,96.0
2024,중구,140.0
