"시점","자치구별(1)",자치구별(2),일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자
"시점","자치구별(1)",자치구별(2),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상
"2024","합계",소계,434287,2774,7565,14469,19337,14522,9665,9854,10484,15651,20421,31172,37278,45367,53206,42663,38299,61560
"2024","합계",종로구,5605,20,56,123,187,125,80,118,117,152,223,374,563,703,865,573,510,816
"2024","합계",중구,6331,29,74,132,197,128,81,90,114,158,218,411,533,738,929,828,641,1030
"2024","합계",용산구,8744,52,111,220,318,242,167,208,207,333,425,693,863,1057,1087,853,715,1193
"2024","합계",성동구,10497,38,133,270,421,330,205,199,209,300,419,709,971,1226,1341,1036,997,1693
"2024","합계",광진구,14697,99,261,554,752,538,432,406,412,598,769,1160,1468,1672,1801,1219,972,1584
"2024","합계",동대문구,16762,75,295,487,692,445,273,288,340,479,703,1144,1444,1906,2326,1874,1557,2434
"2024","합계",중랑구,29794,215,627,1114,1369,1019,663,627,660,1058,1462,2284,2843,3436,3814,2758,2243,3602
"2024","합계",성북구,18130,148,389,687,979,639,394,340,403,619,877,1366,1487,1824,2081,1641,1550,2706
"2024","합계",강북구,25010,179,438,860,1064,774,514,482,525,848,1148,1800,2259,2605,2912,2541,2362,3699
"2024","합계",도봉구,17914,147,398,796,994,663,413,425,420,680,954,1402,1546,1635,2015,1486,1362,2578
"2024","합계",노원구,32542,150,481,1001,1389,1150,732,608,692,1087,1538,2247,2712,3239,3741,3277,3239,5259
"2024","합계",은평구,26401,199,512,957,1351,1119,651,606,592,939,1271,1983,2159,2465,2950,2442,2331,3874
"2024","합계",서대문구,12272,96,208,378,535,477,289,281,260,406,505,866,1014,1206,1367,1156,1130,2098
"2024","합계",마포구,11969,69,152,303,457,437,307,269,310,396,589,865,995,1131,1303,1185,1196,2005
"2024","합계",양천구,19469,143,364,747,1061,694,433,391,475,676,955,1364,1531,1904,2312,1922,1701,2796
"2024","합계",강서구,33690,203,587,1062,1384,1064,769,745,800,1214,1426,2105,2596,3454,4407,3677,3163,5034
"2024","합계",구로구,16352,159,390,700,821,572,301,414,431,646,763,1124,1224,1466,1815,1625,1533,2368
"2024","합계",금천구,14460,102,283,464,647,422,301,327,319,467,587,1028,1392,1764,1809,1363,1236,1949
"2024","합계",영등포구,12276,43,130,259,408,301,224,233,260,394,522,836,1137,1430,1736,1419,1223,1721
"2024","합계",동작구,13324,67,198,390,509,405,300,348,371,510,655,961,1046,1262,1624,1311,1293,2074
"2024","합계",관악구,25204,133,365,721,935,775,664,858,864,1088,1311,1899,2184,2757,2927,2289,2058,3376
"2024","합계",서초구,8046,65,144,348,363,308,213,198,204,319,380,599,670,769,1052,774,689,951
"2024","합계",강남구,16396,78,184,429,651,594,380,425,443,740,817,1126,1309,1658,2170,1715,1595,2082
"2024","합계",송파구,19449,135,433,813,1011,722,462,511,551,798,1011,1459,1684,1933,2354,1792,1521,2259
"2024","합계",강동구,18953,130,352,654,842,579,417,457,505,746,893,1367,1648,2127,2468,1907,1482,2379
